"V1" "V2" "V3" "V4"
"152" 820.74 0.159178342161726 0.318356684323451 0.636713368646902
"153" 828.015 0.162336868843437 0.324673737686874 0.649347475373748
"154" 834.28 0.165970381732119 0.331940763464239 0.663881526928477
"155" 841.684 0.154046739921658 0.308093479843317 0.616186959686634
"156" 851.784 0.161510459811588 0.323020919623176 0.646041839246351
"157" 857.379 0.169661385558476 0.339322771116953 0.678645542233905
"158" 867.854 0.166925849562077 0.333851699124154 0.667703398248308
"159" 874.019 0.158737906426463 0.317475812852925 0.63495162570585
"160" 882.339 0.157790619690321 0.315581239380641 0.631162478761282
"161" 890.389 0.160631017634149 0.321262035268298 0.642524070536596
"162" 897.762 0.153367306879954 0.306734613759908 0.613469227519815
"163" 905.75 0.150136935581892 0.300273871163783 0.600547742327566
"164" 911.938 0.180124991768343 0.360249983536686 0.720499967073371
"165" 921.346 0.230781678042685 0.46156335608537 0.92312671217074
"166" 926.169 0.310941896086867 0.621883792173734 1
"167" 932.361 0.380867944856118 0.761735889712235 1
"168" 936.927 0.490175129763835 0.980350259527671 1
"169" 941.627 0.543003926566526 1 1
"170" 946.74 0.71898272679914 1 1
"171" 951.408 0.89907328111796 1 1
"172" 955.257 0.981984659838127 1 1
"173" 959.746 1 1 1
"174" 963.565 0.913420326305717 1 1
"175" 968.437 1 1 1
"176" 972.611 1 1 1
"177" 977.07 1 1 1
"178" 980.725 1 1 1
"179" 985.244 1 1 1
"180" 989.315 1 1 1
"181" 993.638 1 1 1
"182" 998.762 1 1 1
"183" 1002.931 1 1 1
"184" 1006.206 1 1 1
"185" 1010.418 1 1 1
"186" 1014.918 1 1 1
"187" 1018.989 0.942555453450068 1 1
"188" 1024.305 0.97302830387699 1 1
"189" 1027.735 1 1 1
"190" 1031.387 1 1 1
"191" 1035.881 1 1 1
"192" 1040.221 1 1 1
"193" 1044.035 1 1 1
"194" 1048.218 1 1 1
"195" 1051.97 1 1 1
"196" 1056.382 1 1 1
"197" 1060.751 1 1 1
"198" 1064.424 0.979092259756705 1 1
"199" 1069.961 0.999628343373827 1 1
"200" 1074.407 1 1 1
"201" 1078.678 1 1 1
"202" 1081.384 1 1 1
"203" 1086.817 0.961037721161368 1 1
"204" 1091.114 0.874962410714881 1 1
"205" 1096.092 1 1 1
"206" 1100.421 1 1 1
"207" 1103.879 1 1 1
"208" 1108.555 1 1 1
"209" 1112.078 1 1 1
"210" 1117.577 1 1 1
"211" 1121.191 1 1 1
"212" 1125.25 1 1 1
"213" 1130.213 1 1 1
"214" 1135.015 1 1 1
"215" 1138.7 1 1 1
"216" 1142.109 1 1 1
"217" 1148.288 1 1 1
"218" 1152.048 0.900092783505155 1 1
"219" 1157.028 0.838538894429454 1 1
"220" 1160.668 1 1 1
"221" 1164.231 1 1 1
"222" 1168.528 1 1 1
"223" 1172.536 1 1 1
"224" 1177.623 1 1 1
"225" 1181.206 1 1 1
"226" 1185.218 1 1 1
"227" 1191.024 1 1 1
"228" 1193.696 1 1 1
"229" 1199.47 0.959627102461543 1 1
